                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5568,                 4.0043,                 1.0284,                0.00874,                0.85185,                0.19549,                0.10718,                 1.1962,                 3.4252,                  0.918,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.6092,                  4.032,                 1.0473,                0.00819,                0.83333,                0.14805,                0.07029,                 1.1734,                  3.411,                0.91705,             8.2937e-05,             8.2937e-05,             8.2937e-05
                      3,                 1.4694,                 3.9314,                 1.0316,                 0.0079,                0.85185,                0.10408,                  0.052,                  1.161,                 3.3978,                0.91415,             0.00013204,             0.00013204,             0.00013204
                      4,                 1.3738,                 3.8245,                 1.0166,                0.00868,                0.98148,                0.04934,                 0.0247,                0.94752,                  3.293,                0.86927,             0.00018065,             0.00018065,             0.00018065
                      5,                  1.249,                 3.5298,                  0.981,                 0.0089,                      1,                0.13698,                0.07101,                0.85055,                 3.2857,                0.83789,             0.00022876,             0.00022876,             0.00022876
                      6,                 1.1207,                 2.9064,                0.90668,                0.00869,                      1,                0.25442,                0.11247,                0.80804,                 3.2816,                0.81134,             0.00027638,             0.00027638,             0.00027638
                      7,                 1.0852,                 1.9982,                0.93784,                0.00866,                      1,                0.39474,                 0.1715,                0.78839,                 3.1901,                0.80619,              0.0003235,              0.0003235,              0.0003235
                      8,                 1.1632,                 1.7237,                0.94447,                0.00869,                      1,                 0.4148,                0.17074,                0.81057,                 3.1194,                0.81063,             0.00037012,             0.00037012,             0.00037012
                      9,                 1.0686,                 1.7172,                0.93717,                0.00868,                      1,                0.29693,                0.11474,                0.73816,                 3.0805,                0.79689,             0.00041626,             0.00041626,             0.00041626
                     10,                 1.0501,                 1.5702,                0.94281,                0.00872,                      1,                0.20316,                0.06741,                0.75809,                 3.0718,                0.80128,             0.00046189,             0.00046189,             0.00046189
                     11,                 1.0604,                 1.4979,                0.93144,                0.00873,                      1,                 0.0471,                0.01903,                0.76721,                 3.0596,                0.80388,             0.00050703,             0.00050703,             0.00050703
                     12,                 1.1158,                 1.4474,                0.94016,                0.00877,                      1,                0.04672,                0.01815,                0.77558,                 3.0315,                0.82046,             0.00055168,             0.00055168,             0.00055168
                     13,                0.96702,                 1.3096,                0.94148,                0.00869,                      1,                0.21979,                0.15807,                0.88645,                 2.9225,                0.87102,             0.00059583,             0.00059583,             0.00059583
                     14,                 1.0529,                 1.5888,                0.92815,                0.00864,                      1,                 0.6028,                0.47761,                0.91142,                  2.889,                0.86761,             0.00063949,             0.00063949,             0.00063949
                     15,                 0.9425,                 1.1298,                0.94276,                0.00864,                      1,                 0.6028,                0.47761,                0.91142,                  2.889,                0.86761,             0.00068265,             0.00068265,             0.00068265
                     16,                   1.01,                 1.1962,                0.94295,                0.00861,                      1,                0.50875,                0.37241,                  1.033,                 2.8386,                 0.8685,             0.00072532,             0.00072532,             0.00072532
                     17,                 1.0722,                 1.2772,                0.96445,                0.00857,                      1,                0.58954,                0.45664,                0.97484,                 2.8384,                 0.8668,             0.00076749,             0.00076749,             0.00076749
                     18,                 1.0855,                 1.2404,                0.94053,                0.00857,                      1,                0.58954,                0.45664,                0.97484,                 2.8384,                 0.8668,             0.00080916,             0.00080916,             0.00080916
                     19,                 1.0385,                 1.1925,                0.94843,                0.00857,                      1,                0.94274,                0.75008,                0.84982,                 2.7632,                0.84909,             0.00085034,             0.00085034,             0.00085034
                     20,                 1.0489,                 1.1688,                0.96116,                0.00852,                      1,                0.99107,                0.79634,                  0.793,                  2.621,                0.82896,             0.00089103,             0.00089103,             0.00089103
                     21,                 1.1187,                 1.2768,                 1.0161,                0.00852,                      1,                0.99107,                0.79634,                  0.793,                  2.621,                0.82896,             0.00093122,             0.00093122,             0.00093122
                     22,                 1.0411,                 1.1227,                 0.9557,                0.00853,                      1,                0.99107,                0.78146,                0.83556,                 2.4902,                0.83344,             0.00097091,             0.00097091,             0.00097091
                     23,                0.98922,                 1.0872,                0.89845,                0.00853,                      1,                0.99107,                0.78146,                0.83556,                 2.4902,                0.83344,              0.0010101,              0.0010101,              0.0010101
                     24,                0.96958,                 1.0319,                0.92194,                0.18649,                      1,                0.98982,                0.73798,                0.90381,                 2.4531,                0.86734,              0.0010488,              0.0010488,              0.0010488
                     25,                 1.0034,                 1.0874,                0.94496,                0.18649,                      1,                0.98982,                0.73798,                0.90381,                 2.4531,                0.86734,               0.001087,               0.001087,               0.001087
                     26,                  1.004,                 1.1187,                 0.9514,                0.00858,                      1,                0.99446,                0.74402,                 0.9102,                 2.4348,                0.89888,              0.0011247,              0.0011247,              0.0011247
                     27,                 1.0126,                 1.2319,                0.95334,                0.00858,                      1,                0.99446,                0.74402,                 0.9102,                 2.4348,                0.89888,               0.001162,               0.001162,               0.001162
                     28,                0.99924,                 1.1673,                0.97696,                      1,                0.72359,                  0.995,                0.71895,                0.92475,                 1.8401,                0.91414,              0.0011987,              0.0011987,              0.0011987
                     29,                 1.1193,                 1.2341,                0.94052,                      1,                0.72359,                  0.995,                0.71895,                0.92475,                 1.8401,                0.91414,              0.0012349,              0.0012349,              0.0012349
                     30,                0.91041,                 1.1666,                0.94641,                      1,                0.72359,                  0.995,                0.71895,                0.92475,                 1.8401,                0.91414,              0.0012707,              0.0012707,              0.0012707
                     31,                 1.0119,                 1.0886,                 0.9541,                0.98487,                      1,                  0.995,                0.68971,                 1.0423,                 1.2252,                0.94751,              0.0013059,              0.0013059,              0.0013059
                     32,                 0.9913,                 1.2446,                0.95113,                0.98487,                      1,                  0.995,                0.68971,                 1.0423,                 1.2252,                0.94751,              0.0013406,              0.0013406,              0.0013406
                     33,                0.92784,                 1.2462,                0.93904,                0.93729,                0.93544,                0.98372,                 0.6829,                 1.1821,                  1.645,                0.96936,              0.0013749,              0.0013749,              0.0013749
                     34,                 1.0797,                 1.0142,                0.91681,                0.93729,                0.93544,                0.98372,                 0.6829,                 1.1821,                  1.645,                0.96936,              0.0013947,              0.0013947,              0.0013947
