                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0972,                 3.3634,                0.95078,                0.00951,                0.99129,                0.37174,                0.23201,                0.77506,                 3.3573,                 0.8077,             0.00025722,             0.00025722,             0.00025722
                      2,                0.71189,                 1.1562,                0.88328,                0.01257,                0.63617,                0.37613,                0.25999,                0.69293,                 3.2688,                0.86576,              0.0005235,              0.0005235,              0.0005235
                      3,                0.68911,                0.96906,                0.88478,                0.00879,                0.66231,                0.64024,                0.53158,                0.66451,                 2.8332,                0.84879,              0.0007844,              0.0007844,              0.0007844
                      4,                0.63724,                 0.8452,                0.86631,                0.99729,                0.36804,                0.66234,                0.56513,                0.56135,                 1.9745,                0.85092,              0.0010399,              0.0010399,              0.0010399
                      5,                0.64602,                 0.8033,                0.87709,                0.99148,                0.66343,                0.99496,                0.87819,                0.54827,                 1.2959,                0.84627,              0.0012901,              0.0012901,              0.0012901
                      6,                0.63722,                0.74893,                0.87143,                  0.981,                0.66667,                0.99336,                0.91204,                0.52831,                 0.9054,                0.83753,              0.0013583,              0.0013583,              0.0013583
                      7,                0.57466,                0.66635,                0.85934,                0.99923,                0.66162,                0.99496,                 0.9105,                0.50597,                0.59284,                0.83423,              0.0013441,              0.0013441,              0.0013441
                      8,                 0.5822,                0.67716,                0.86219,                0.99772,                0.66224,                  0.995,                0.92464,                0.53584,                0.64554,                0.84069,                0.00133,                0.00133,                0.00133
                      9,                0.57517,                0.64544,                0.84921,                 0.8264,                      1,                  0.995,                0.93581,                0.46822,                0.52064,                0.82554,              0.0013158,              0.0013158,              0.0013158
                     10,                0.55769,                0.60806,                0.85244,                0.99324,                0.66516,                0.99472,                0.92186,                0.48954,                0.50888,                0.83247,              0.0013017,              0.0013017,              0.0013017
                     11,                0.53289,                0.58955,                0.84963,                0.99309,                0.66419,                0.99364,                0.92724,                0.49631,                0.63386,                0.82572,              0.0012875,              0.0012875,              0.0012875
