                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0192,                 2.8663,                0.93303,                0.01144,                0.98913,                0.29046,                0.19212,                0.65317,                 3.3527,                0.80926,             0.00034296,             0.00034296,             0.00034296
                      2,                0.74063,                 1.1475,                0.88492,                0.00949,                0.99819,                0.53039,                0.45322,                0.59827,                 3.0053,                0.82746,             0.00069328,             0.00069328,             0.00069328
                      3,                0.69589,                0.90656,                0.87835,                0.99662,                0.17696,                 0.6564,                0.55874,                0.64366,                 2.1848,                0.86339,              0.0010365,              0.0010365,              0.0010365
                      4,                0.61743,                0.77804,                0.87175,                0.99015,                0.65718,                0.66006,                0.58798,                0.53187,                 1.4606,                0.84032,              0.0013727,              0.0013727,              0.0013727
                      5,                0.60129,                0.71134,                0.86387,                0.97781,                0.66304,                0.99366,                0.88549,                0.54358,                0.83082,                0.83216,              0.0013724,              0.0013724,              0.0013724
                      6,                0.57449,                0.67477,                0.85906,                0.97327,                0.66486,                0.99487,                 0.9095,                0.53441,                0.71885,                0.84251,              0.0013583,              0.0013583,              0.0013583
                      7,                0.58583,                0.64544,                0.86778,                0.99683,                0.66123,                0.99481,                0.90261,                0.48897,                0.54723,                0.81728,              0.0013441,              0.0013441,              0.0013441
                      8,                 0.5314,                0.59502,                0.84497,                0.99439,                0.65836,                0.99463,                0.91324,                0.44401,                 0.4959,                0.80968,                0.00133,                0.00133,                0.00133
                      9,                0.52704,                 0.5806,                0.85407,                0.95476,                0.66667,                0.99496,                0.89876,                0.47671,                0.46183,                0.81046,              0.0013158,              0.0013158,              0.0013158
                     10,                0.50947,                0.53259,                0.83597,                0.97458,                0.66667,                0.99493,                0.91997,                0.43666,                0.40572,                0.80131,              0.0013017,              0.0013017,              0.0013017
                     11,                0.55593,                0.52024,                0.83937,                0.98984,                0.66667,                0.99478,                0.88868,                0.46994,                0.43645,                0.80565,              0.0012875,              0.0012875,              0.0012875
                     12,                0.54011,                0.49889,                0.86244,                0.96638,                 0.9325,                0.99414,                0.92642,                0.43555,                0.40063,                0.80214,              0.0012734,              0.0012734,              0.0012734
                     13,                0.52453,                0.46683,                0.84267,                0.96951,                      1,                0.99493,                0.91462,                0.46261,                0.39256,                0.80794,              0.0012592,              0.0012592,              0.0012592
                     14,                0.50814,                0.45419,                0.84153,                0.96778,                      1,                0.99496,                 0.9292,                0.39523,                0.33325,                0.79052,              0.0012451,              0.0012451,              0.0012451
                     15,                0.48783,                 0.4399,                0.84437,                0.97877,                      1,                0.99491,                0.91706,                 0.4254,                0.33973,                0.79446,              0.0012309,              0.0012309,              0.0012309
                     16,                0.47588,                 0.4182,                0.83676,                0.98293,                      1,                0.99495,                0.90088,                0.45697,                0.32239,                0.80193,              0.0012168,              0.0012168,              0.0012168
                     17,                0.49658,                0.41984,                0.83491,                0.98909,                      1,                0.99495,                0.91919,                0.38598,                0.30218,                0.78999,              0.0012026,              0.0012026,              0.0012026
                     18,                0.45312,                0.38739,                0.83095,                0.98607,                0.98564,                  0.995,                0.91303,                0.45014,                0.34242,                0.80191,              0.0011885,              0.0011885,              0.0011885
                     19,                0.45808,                0.38715,                0.83551,                0.98254,                0.99188,                0.99498,                0.91168,                0.43385,                0.31854,                0.79235,              0.0011744,              0.0011744,              0.0011744
                     20,                0.46481,                0.38283,                0.83622,                0.98373,                0.99169,                0.99495,                0.90802,                0.43312,                0.30606,                0.79406,              0.0011602,              0.0011602,              0.0011602
                     21,                0.46301,                0.36958,                0.83353,                0.98105,                0.99414,                0.99491,                 0.9161,                 0.3982,                0.28496,                 0.7867,              0.0011461,              0.0011461,              0.0011461
                     22,                0.44779,                0.35953,                0.83353,                0.98667,                0.98579,                0.99498,                0.91972,                0.37775,                0.26446,                0.78128,              0.0011319,              0.0011319,              0.0011319
                     23,                 0.4339,                0.34329,                0.82393,                0.98531,                0.98783,                0.99498,                0.92079,                0.37894,                0.27272,                0.78347,              0.0011178,              0.0011178,              0.0011178
                     24,                0.45053,                0.35275,                0.83271,                0.99213,                0.99336,                0.99496,                0.91824,                0.41076,                0.27485,                0.78623,              0.0011036,              0.0011036,              0.0011036
                     25,                0.45151,                0.34343,                0.83264,                0.98683,                0.99833,                0.99498,                  0.917,                0.40818,                0.26813,                0.78843,              0.0010895,              0.0010895,              0.0010895
                     26,                0.43177,                0.33396,                0.83199,                0.98729,                0.99406,                0.99498,                0.92023,                0.36946,                0.27791,                0.78406,              0.0010753,              0.0010753,              0.0010753
                     27,                   0.43,                0.32818,                0.83029,                0.98494,                0.99118,                0.99496,                0.92586,                0.42011,                0.30174,                0.79313,              0.0010612,              0.0010612,              0.0010612
                     28,                0.42938,                0.32689,                 0.8264,                0.98667,                0.99627,                  0.995,                0.91832,                0.40483,                0.27373,                0.78633,               0.001047,               0.001047,               0.001047
                     29,                0.43183,                0.32147,                0.82794,                0.98209,                0.99433,                0.99495,                 0.9409,                0.38074,                0.26193,                0.78289,              0.0010329,              0.0010329,              0.0010329
                     30,                0.43006,                0.32308,                0.82756,                0.98379,                0.99275,                0.99496,                0.93783,                0.38368,                0.25884,                0.77978,              0.0010187,              0.0010187,              0.0010187
                     31,                0.43425,                0.32329,                0.83752,                0.98208,                0.98993,                0.99498,                0.91502,                0.37822,                 0.2444,                0.77695,              0.0010046,              0.0010046,              0.0010046
                     32,                0.43474,                0.32196,                0.83386,                0.98834,                0.99032,                0.99498,                0.93254,                0.40725,                0.25945,                0.78168,             0.00099044,             0.00099044,             0.00099044
                     33,                0.41139,                0.31143,                0.82638,                0.98299,                0.99692,                0.99493,                0.92898,                0.39788,                0.25732,                0.78071,             0.00097629,             0.00097629,             0.00097629
                     34,                0.42712,                0.31498,                0.82819,                0.97608,                0.99761,                0.99495,                0.91046,                0.37502,                0.25048,                0.77917,             0.00096215,             0.00096215,             0.00096215
                     35,                0.39425,                0.29445,                0.81725,                0.97953,                0.99734,                0.99495,                0.92984,                0.37115,                0.23759,                0.77841,               0.000948,               0.000948,               0.000948
                     36,                0.40378,                0.29256,                0.82786,                 0.9834,                0.99057,                0.99498,                0.94241,                0.36821,                0.23521,                0.77999,             0.00093385,             0.00093385,             0.00093385
                     37,                 0.4047,                0.29924,                0.82696,                0.99247,                0.99167,                0.99498,                0.93215,                0.37993,                0.24385,                0.77892,              0.0009197,              0.0009197,              0.0009197
                     38,                0.41091,                0.29318,                0.82845,                0.98976,                0.98917,                0.99495,                0.92584,                0.40033,                0.25154,                0.78473,             0.00090556,             0.00090556,             0.00090556
                     39,                0.40471,                0.29294,                0.82344,                0.98778,                0.99074,                0.99496,                 0.9479,                0.36525,                 0.2257,                0.77606,             0.00089141,             0.00089141,             0.00089141
