                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3335,                 4.0938,                 1.0094,                0.00881,                0.65957,                  0.016,                0.00996,                 1.2294,                    3.6,                0.89612,             0.00010003,             0.00010003,             0.00010003
                      2,                  1.054,                 3.4726,                0.94384,                0.01241,                      1,                0.39095,                0.19018,                0.70495,                 3.4663,                0.79673,             0.00021223,             0.00021223,             0.00021223
                      3,                0.88231,                 1.6134,                0.93369,                0.01785,                      1,                0.01969,                0.01601,                 0.6999,                 3.4285,                0.79224,             0.00032216,             0.00032216,             0.00032216
                      4,                0.82973,                 1.2378,                0.90786,                0.01813,                      1,                0.02092,                 0.0166,                0.68852,                 3.3218,                0.80855,             0.00042983,             0.00042983,             0.00042983
                      5,                0.81609,                 1.1554,                0.89879,                0.01938,                      1,                0.03261,                0.02633,                0.70549,                 3.2151,                0.81445,             0.00053524,             0.00053524,             0.00053524
                      6,                0.75177,                0.97257,                0.88626,                0.01493,                      1,                0.87197,                0.68416,                0.77315,                 3.0797,                0.80917,             0.00063838,             0.00063838,             0.00063838
                      7,                0.77956,                0.97618,                0.87424,                0.01385,                      1,                0.96537,                0.75037,                0.72066,                 2.9031,                0.81138,             0.00073926,             0.00073926,             0.00073926
                      8,                0.70386,                0.91587,                0.86402,                0.01334,                      1,                0.99238,                0.82652,                0.68725,                 2.7479,                0.79599,             0.00083788,             0.00083788,             0.00083788
                      9,                0.74638,                0.91764,                0.87448,                      1,                 0.2339,                0.99438,                0.83619,                0.65622,                 2.3602,                0.78795,             0.00093423,             0.00093423,             0.00093423
                     10,                0.75363,                0.85659,                0.86172,                      1,                0.35061,                0.98228,                  0.808,                0.63099,                 2.1514,                0.79225,              0.0010283,              0.0010283,              0.0010283
                     11,                0.72345,                0.81626,                0.86463,                      1,                0.28709,                0.99262,                0.79309,                0.70835,                 2.0814,                0.82613,              0.0011202,              0.0011202,              0.0011202
                     12,                  0.694,                0.80426,                 0.8579,                0.98934,                0.98027,                0.99375,                 0.8533,                0.60013,                 1.5484,                0.79936,              0.0012097,              0.0012097,              0.0012097
                     13,                0.68603,                0.74857,                0.84714,                0.98638,                0.98601,                0.99174,                0.84229,                0.60807,                 1.5496,                0.79668,              0.0012592,              0.0012592,              0.0012592
                     14,                0.70842,                0.74858,                0.85892,                0.97869,                      1,                0.99458,                0.84333,                0.60316,                0.96973,                0.79793,              0.0012451,              0.0012451,              0.0012451
                     15,                0.66912,                0.73288,                 0.8553,                0.99696,                  0.998,                  0.995,                0.83993,                0.60626,                 1.0535,                0.81486,              0.0012309,              0.0012309,              0.0012309
                     16,                 0.6492,                0.73483,                0.85417,                0.98676,                      1,                  0.995,                0.82894,                 0.6148,                0.77025,                0.81335,              0.0012168,              0.0012168,              0.0012168
                     17,                0.61701,                0.67313,                0.83752,                0.98023,                      1,                0.99479,                0.84244,                0.62502,                0.85341,                0.81152,              0.0012026,              0.0012026,              0.0012026
                     18,                0.66152,                0.71809,                 0.8463,                0.98231,                      1,                0.99417,                  0.834,                 0.6083,                0.81879,                0.81237,              0.0011885,              0.0011885,              0.0011885
                     19,                0.69536,                0.67318,                0.86834,                0.99073,                      1,                  0.995,                0.83032,                0.62704,                0.58927,                0.81851,              0.0011744,              0.0011744,              0.0011744
                     20,                0.63246,                0.64022,                0.84858,                0.98039,                      1,                0.99479,                0.84396,                0.61092,                0.63298,                0.80201,              0.0011602,              0.0011602,              0.0011602
                     21,                0.60975,                0.66819,                0.84448,                0.99475,                0.98936,                0.99479,                0.84061,                0.58294,                0.54318,                0.81067,              0.0011461,              0.0011461,              0.0011461
                     22,                0.68174,                 0.6263,                0.85886,                0.99344,                0.98936,                0.99479,                0.85722,                0.58194,                0.51229,                 0.7993,              0.0011319,              0.0011319,              0.0011319
